Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
09-Jan-2026,30-Mar-2026,XX,"-","1,054.10","1,054.10","1,010.00","1,023.30","1,024.00","1,023.30",12500,"1,27,90,200.00","1,27,90,200.00",21000,6000
08-Jan-2026,27-Jan-2026,XX,"-","1,058.00","1,079.80","1,042.30","1,054.60","1,050.10","1,054.60",927000,"97,98,90,750.00","97,98,90,750.00",3970500,500
08-Jan-2026,30-Mar-2026,XX,"-","1,067.00","1,067.00","1,043.60","1,041.10","1,045.00","1,041.10",5500,"57,78,750.00","57,78,750.00",15000,3000
08-Jan-2026,24-Feb-2026,XX,"-","1,062.40","1,070.90","1,034.00","1,045.10","1,042.20","1,045.10",190000,"19,87,54,500.00","19,87,54,500.00",318500,73000
07-Jan-2026,27-Jan-2026,XX,"-","1,054.40","1,071.00","1,051.80","1,068.80","1,067.80","1,068.80",1273500,"1,35,30,43,350.00","1,35,30,43,350.00",3970000,71500
07-Jan-2026,24-Feb-2026,XX,"-","1,052.80","1,064.60","1,042.70","1,062.10","1,061.60","1,062.10",160000,"16,85,35,950.00","16,85,35,950.00",245500,54500
07-Jan-2026,30-Mar-2026,XX,"-","1,047.50","1,047.50","1,047.50","1,047.50","1,047.50","1,087.80",500,"5,23,750.00","5,23,750.00",12000,0
06-Jan-2026,24-Feb-2026,XX,"-","1,057.10","1,060.60","1,042.00","1,054.50","1,054.90","1,054.50",108500,"11,41,68,100.00","11,41,68,100.00",191000,39000
06-Jan-2026,30-Mar-2026,XX,"-","1,050.00","1,057.60","1,038.00","1,051.70","1,050.00","1,051.70",5000,"52,36,450.00","52,36,450.00",12000,4500
06-Jan-2026,27-Jan-2026,XX,"-","1,069.00","1,069.00","1,048.60","1,062.20","1,062.10","1,062.20",1198000,"1,26,93,43,500.00","1,26,93,43,500.00",3898500,369500
05-Jan-2026,30-Mar-2026,XX,"-","1,078.40","1,078.40","1,046.60","1,050.60","1,048.00","1,050.60",6000,"63,45,250.00","63,45,250.00",7500,3000
05-Jan-2026,24-Feb-2026,XX,"-","1,084.30","1,095.80","1,051.30","1,055.40","1,054.80","1,055.40",126000,"13,42,62,750.00","13,42,62,750.00",152000,47500
05-Jan-2026,27-Jan-2026,XX,"-","1,086.00","1,099.90","1,060.20","1,063.70","1,061.80","1,063.70",1382000,"1,49,02,22,950.00","1,49,02,22,950.00",3529000,511500
