FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_MARKET_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_MARKET_LOT,FH_TIMESTAMP,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,FH_HIGH_PRICE,FH_LOW_PRICE
FUTSTK,CIPLA,25-Apr-2024,0,XX,N,1460.0,1476.1,1460.0,1476.1,1476.1,1457.4,1476.1,2600.0,3818230.0,16900.0,1300.0,650.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,1511.8,3818230.0,,
FUTSTK,CIPLA,28-Mar-2024,0,XX,N,1446.35,1469.8,1446.35,1466.2,1466.2,1447.9,1466.2,122850.0,179561882.5,98150.0,18850.0,650.0,13-Feb-2024,2024-02-12T18:30:00.000+00:00,1511.8,179561882.5,,
FUTSTK,CIPLA,28-Mar-2024,0,XX,N,1457.55,1460.65,1426.05,1440.65,1440.8,1466.2,1440.65,130000.0,187077410.0,114400.0,16250.0,650.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,1511.8,187077410.0,,
FUTSTK,CIPLA,29-Feb-2024,0,XX,N,1450.1,1452.55,1415.15,1431.05,1431.0,1456.45,1431.05,1582100.0,2259658505.0,8960900.0,26650.0,650.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,1511.8,2259658505.0,,
FUTSTK,CIPLA,25-Apr-2024,0,XX,N,1463.45,1463.45,1441.8,1441.8,1441.8,1476.1,1444.2,4550.0,6615277.5,18200.0,1300.0,650.0,14-Feb-2024,2024-02-13T18:30:00.000+00:00,1511.8,6615277.5,,
FUTSTK,CIPLA,28-Mar-2024,0,XX,N,1440.0,1441.45,1428.1,1438.15,1436.85,1440.65,1438.15,93600.0,134209205.0,133250.0,18850.0,650.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,1511.8,134209205.0,,
FUTSTK,CIPLA,29-Feb-2024,0,XX,N,1435.15,1435.15,1417.7,1428.4,1427.6,1431.05,1428.4,1504100.0,2142112245.0,8872500.0,-88400.0,650.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,1511.8,2142112245.0,,
FUTSTK,CIPLA,25-Apr-2024,0,XX,N,1441.8,1441.8,1441.8,1443.0,1441.8,1441.8,1443.0,1950.0,2813070.0,19500.0,1300.0,650.0,15-Feb-2024,2024-02-14T18:30:00.000+00:00,1511.8,2813070.0,,
FUTSTK,CIPLA,29-Feb-2024,0,XX,N,1430.3,1453.4,1430.3,1441.1,1440.0,1428.4,1441.1,1374100.0,1982512252.5,8676850.0,-195650.0,650.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,1511.8,1982512252.5,,
FUTSTK,CIPLA,28-Mar-2024,0,XX,N,1442.1,1463.0,1441.2,1450.05,1450.0,1438.15,1450.05,111800.0,162333405.0,128050.0,-5200.0,650.0,16-Feb-2024,2024-02-15T18:30:00.000+00:00,1511.8,162333405.0,,
