FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,FH_HIGH_PRICE,FH_LOW_PRICE
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,613.4,624.45,604.75,611.1,611.1,4898.0,42311.32,7035000.0,4233600.0,19-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,621.1,624.0,609.25,612.95,612.95,27.0,232.71,142800.0,12600.0,19-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Feb-2021,0.0,XX,607.75,610.9,591.85,594.0,594.0,16766.0,140731.57,20728400.0,-16214800.0,22-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,608.5,613.0,593.5,597.75,597.75,15841.0,133310.09,23069200.0,16034200.0,22-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,614.05,615.0,599.25,600.65,600.65,72.0,613.64,119000.0,-23800.0,22-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Feb-2021,0.0,XX,595.5,607.85,592.6,603.85,603.85,12748.0,107633.65,10668000.0,-10060400.0,23-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,598.3,609.7,594.55,605.95,605.95,10927.0,92582.23,32951800.0,9882600.0,23-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,604.6,612.0,602.0,610.3,608.65,22.0,187.36,133000.0,14000.0,23-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Feb-2021,0.0,XX,605.6,609.0,590.25,602.2,602.2,5530.0,46610.25,6053600.0,-4614400.0,24-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,606.9,610.6,586.0,604.2,604.2,5495.0,46463.19,36976800.0,4025000.0,24-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,611.8,611.8,605.0,607.3,607.3,29.0,246.17,165200.0,32200.0,24-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Feb-2021,0.0,XX,604.9,620.0,603.05,610.05,609.55,6288.0,54022.57,987000.0,-5066600.0,25-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,607.85,621.15,605.0,612.9,612.9,9546.0,82286.13,40791800.0,3815000.0,25-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,610.6,622.65,610.0,615.3,615.3,91.0,786.55,203000.0,37800.0,25-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,609.5,623.6,594.45,598.6,598.6,12408.0,106245.09,42177800.0,1386000.0,26-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,607.25,625.95,597.15,600.8,600.8,188.0,1611.21,225400.0,22400.0,26-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,603.3,603.3,603.3,603.3,603.3,1.0,8.44,1400.0,1400.0,26-Feb-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,600.55,612.55,599.05,608.5,608.5,5831.0,49451.72,41917400.0,-260400.0,01-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,612.4,614.5,601.6,611.6,611.6,99.0,842.75,233800.0,8400.0,01-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,613.6,614.25,613.6,613.95,613.95,2.0,17.18,4200.0,2800.0,01-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,610.05,619.7,606.9,616.55,616.55,5874.0,50450.22,42029400.0,112000.0,02-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,613.7,621.3,609.7,619.55,619.55,74.0,638.73,268800.0,35000.0,02-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,614.15,622.5,614.15,621.4,619.65,5.0,43.41,7000.0,2800.0,02-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,618.65,628.85,614.6,627.05,627.05,8685.0,75767.16,42893200.0,863800.0,03-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,623.95,631.35,617.8,629.7,629.7,154.0,1348.17,291200.0,22400.0,03-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,624.35,631.45,624.35,631.45,629.8,3.0,26.35,8400.0,1400.0,03-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,624.85,639.85,618.65,621.55,621.55,13228.0,116550.86,44837800.0,1944600.0,04-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,629.8,642.0,622.45,624.8,624.8,385.0,3403.11,333200.0,42000.0,04-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,628.8,640.5,627.0,627.05,627.05,10.0,88.76,12600.0,4200.0,04-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,620.7,621.0,607.5,612.2,612.2,6858.0,58968.07,44335200.0,-502600.0,05-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,621.85,622.55,611.7,616.3,616.3,184.0,1591.29,378000.0,44800.0,05-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,621.2,621.2,616.5,616.5,616.45,5.0,43.34,18200.0,5600.0,05-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,612.65,624.3,612.65,617.85,617.85,5290.0,45828.51,43950200.0,-385000.0,08-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,618.3,627.8,617.0,621.3,621.3,130.0,1132.25,359800.0,-18200.0,08-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,620.8,627.0,620.8,621.55,621.55,6.0,52.31,19600.0,1400.0,08-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,618.6,623.3,608.75,614.3,614.3,4295.0,36995.81,43337000.0,-613200.0,09-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,626.25,626.75,612.85,617.7,617.7,101.0,875.22,390600.0,30800.0,09-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,622.0,622.1,617.5,621.0,621.0,9.0,78.09,25200.0,5600.0,09-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,616.45,629.8,616.45,627.25,627.25,6196.0,54129.54,42026600.0,-1310400.0,10-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,621.65,632.95,621.0,630.8,630.8,129.0,1131.43,401800.0,11200.0,10-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,624.15,633.5,624.15,633.25,633.25,14.0,123.46,33600.0,8400.0,10-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,628.8,630.0,614.45,616.5,616.5,4697.0,40919.4,42002800.0,-23800.0,12-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,632.0,632.7,617.75,619.8,619.8,210.0,1840.25,485800.0,84000.0,12-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,633.25,633.25,625.0,625.0,625.0,13.0,114.76,46200.0,12600.0,12-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,616.4,616.95,597.5,607.45,607.45,5212.0,44175.54,42077000.0,74200.0,15-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,617.95,617.95,601.0,610.8,610.8,573.0,4872.44,859600.0,373800.0,15-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,612.0,615.0,605.0,615.0,615.0,6.0,51.34,49000.0,2800.0,15-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,609.1,611.3,601.65,605.3,605.3,3771.0,31976.07,41491800.0,-585200.0,16-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,612.5,614.5,605.4,608.5,608.5,364.0,3103.49,964600.0,105000.0,16-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,615.0,615.0,610.0,611.5,611.5,5.0,42.87,51800.0,2800.0,16-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,606.75,606.8,584.5,587.25,587.25,5609.0,46547.77,41050800.0,-441000.0,17-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,606.0,607.4,587.85,589.9,589.9,1009.0,8408.01,1594600.0,630000.0,17-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,600.0,601.25,591.3,593.75,593.75,30.0,250.93,79800.0,28000.0,17-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,587.55,592.65,574.1,576.7,576.7,4922.0,40144.05,40349400.0,-701400.0,18-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,592.0,595.8,577.45,579.75,579.75,1437.0,11774.55,2538200.0,943600.0,18-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,593.75,595.8,581.0,582.65,582.65,26.0,213.93,96600.0,16800.0,18-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,571.9,584.95,564.15,580.4,580.4,5981.0,48364.7,38410400.0,-1939000.0,19-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,577.6,587.95,567.75,583.2,583.2,2763.0,22494.64,4485600.0,1947400.0,19-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,575.45,590.0,571.8,585.75,585.75,25.0,203.75,102200.0,5600.0,19-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,25-Mar-2021,0.0,XX,579.3,593.25,579.3,591.1,591.1,7322.0,60407.85,33626600.0,-4783800.0,22-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,29-Apr-2021,0.0,XX,584.3,596.45,584.3,594.45,594.45,5182.0,42981.34,8671600.0,4186000.0,22-Mar-2021,,,N,,,,,,,
FUTSTK,SUNPHARMA,27-May-2021,0.0,XX,588.75,599.4,588.75,597.55,597.55,36.0,300.12,99400.0,-2800.0,22-Mar-2021,,,N,,,,,,,
