FH_INSTRUMENT,FH_SYMBOL,FH_EXPIRY_DT,FH_STRIKE_PRICE,FH_OPTION_TYPE,FH_OPENING_PRICE,FH_TRADE_HIGH_PRICE,FH_TRADE_LOW_PRICE,FH_CLOSING_PRICE,FH_SETTLE_PRICE,FH_TOT_TRADED_QTY,FH_TOT_TRADED_VAL,FH_OPEN_INT,FH_CHANGE_IN_OI,FH_TIMESTAMP,Unnamed: 15,FH_MARKET_LOT,FH_MARKET_TYPE,FH_LAST_TRADED_PRICE,FH_PREV_CLS,FH_TIMESTAMP_ORDER,FH_UNDERLYING_VALUE,CALCULATED_PREMIUM_VAL,FH_HIGH_PRICE,FH_LOW_PRICE
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,914.75,916.7,907.5,909.35,909.35,78.0,461.94,276250.0,21450.0,02-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,917.0,917.0,913.0,913.0,913.0,2.0,11.89,1300.0,1300.0,02-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Nov-2021,0.0,XX,905.65,915.0,905.65,913.25,913.25,2280.0,13507.43,10702250.0,-257400.0,03-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,912.15,919.0,911.5,917.7,917.7,67.0,398.86,267800.0,-8450.0,03-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,921.0,921.0,921.0,921.0,920.95,1.0,5.98,1950.0,650.0,03-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Nov-2021,0.0,XX,911.3,914.95,911.0,911.75,911.75,129.0,765.05,10700950.0,-1300.0,04-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,917.7,918.4,916.0,916.5,916.15,7.0,41.73,270400.0,2600.0,04-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,0.0,0.0,0.0,921.0,918.85,0.0,0.0,1950.0,0.0,04-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Nov-2021,0.0,XX,911.55,917.25,899.75,915.75,915.75,2867.0,16946.56,10425350.0,-275600.0,08-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,915.35,921.2,905.0,920.15,920.15,100.0,593.85,284050.0,13650.0,08-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,911.0,917.0,910.0,917.0,921.5,4.0,23.72,2600.0,650.0,08-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Nov-2021,0.0,XX,914.3,929.7,913.5,918.65,918.65,2622.0,15687.3,10338250.0,-87100.0,09-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,923.35,932.05,917.9,923.2,923.2,91.0,546.73,295750.0,11700.0,09-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,0.0,0.0,0.0,917.0,921.85,0.0,0.0,2600.0,0.0,09-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Nov-2021,0.0,XX,912.9,926.9,911.6,915.9,915.9,2673.0,15988.07,10412350.0,74100.0,10-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,918.5,931.0,918.5,920.3,920.3,81.0,486.71,308100.0,12350.0,10-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,921.15,925.3,921.15,921.55,921.55,3.0,17.99,3900.0,1300.0,10-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Nov-2021,0.0,XX,914.55,914.55,898.4,906.55,906.55,2363.0,13891.33,10585900.0,173550.0,11-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,918.2,918.2,902.55,911.15,911.15,211.0,1245.92,385450.0,77350.0,11-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,915.0,915.45,908.0,911.5,912.3,16.0,94.79,9750.0,5850.0,11-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Nov-2021,0.0,XX,906.55,919.15,906.55,917.85,917.85,2185.0,12987.65,10162100.0,-423800.0,12-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,912.8,923.0,911.05,921.8,921.8,155.0,926.37,339950.0,-45500.0,12-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,919.65,923.6,919.65,923.6,923.35,4.0,23.97,12350.0,2600.0,12-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Nov-2021,0.0,XX,914.65,942.0,911.05,940.65,940.65,7237.0,43902.86,10204350.0,42250.0,15-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,916.85,945.45,916.8,944.25,944.25,744.0,4527.23,367900.0,27950.0,15-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,934.8,948.0,933.65,947.75,947.75,19.0,116.17,14300.0,1950.0,15-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,25-Nov-2021,0.0,XX,943.05,944.95,919.0,921.55,921.55,4245.0,25668.8,10245300.0,40950.0,16-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,30-Dec-2021,0.0,XX,949.0,949.0,923.1,925.45,925.45,420.0,2551.49,462800.0,94900.0,16-Nov-2021,,,N,,,,,,,
FUTSTK,CIPLA,27-Jan-2022,0.0,XX,950.85,950.85,930.0,930.0,930.0,12.0,73.07,16250.0,1950.0,16-Nov-2021,,,N,,,,,,,
