symbol,sector,direction,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_rupees,days_held,reason,lot_size,month
BRITANNIA,FMCG,SHORT,2023-12-01,2023-12-11,4984.35,4964.2,0.404,2519.0,10,Time Stop,125,2023-12
HDFCBANK,BANKING,SHORT,2023-12-04,2023-12-14,1616.65,1661.45,-2.771,-24640.0,10,Time Stop,550,2023-12
AXISBANK,BANKING,SHORT,2023-12-04,2023-12-14,1127.35,1128.15,-0.071,-500.0,10,Time Stop,625,2023-12
ULTRACEMCO,CEMENT,SHORT,2023-12-04,2023-12-14,9329.6,9942.1,-6.565,-30625.0,10,Time Stop,50,2023-12
AMBUJACEM,CEMENT,SHORT,2023-12-04,2023-12-14,476.6,522.3,-9.589,-47985.0,10,Time Stop,1050,2023-12
BANKBARODA,BANKING,SHORT,2023-12-13,2023-12-26,222.5,225.2,-1.213,-7897.0,13,Time Stop,2925,2023-12
HDFCBANK,BANKING,SHORT,2023-12-14,2023-12-26,1661.45,1680.55,-1.15,-10505.0,12,Time Stop,550,2023-12
ICICIBANK,BANKING,SHORT,2023-12-14,2023-12-26,1039.1,996.1,4.138,30100.0,12,Time Stop,700,2023-12
SBIN,BANKING,SHORT,2023-12-14,2023-12-26,627.5,638.7,-1.785,-8400.0,12,Time Stop,750,2023-12
PNB,BANKING,SHORT,2023-12-14,2023-12-26,90.35,88.75,1.771,12800.0,12,Time Stop,8000,2023-12
BRITANNIA,FMCG,SHORT,2023-12-26,2024-01-05,5210.1,5299.15,-1.709,-11131.0,10,Time Stop,125,2024-01
HDFCBANK,BANKING,SHORT,2023-12-27,2024-01-08,1699.7,1670.3,1.73,16170.0,12,Time Stop,550,2024-01
COLPAL,FMCG,SHORT,2023-12-28,2024-01-08,2520.95,2509.0,0.474,2689.0,11,Time Stop,225,2024-01
HEROMOTOCO,AUTO,SHORT,2023-12-29,2024-01-08,4166.95,4016.45,3.612,22575.0,10,Time Stop,150,2024-01
HINDUNILVR,FMCG,SHORT,2023-12-29,2024-01-08,2681.5,2583.75,3.645,29325.0,10,RSI Target,300,2024-01
HEROMOTOCO,AUTO,SHORT,2024-01-11,2024-01-23,4340.35,4409.5,-1.593,-10372.0,12,Time Stop,150,2024-01
PNB,BANKING,SHORT,2024-01-20,2024-01-30,104.85,110.0,-4.912,-41200.0,10,Time Stop,8000,2024-01
PNB,BANKING,SHORT,2024-01-31,2024-02-12,114.95,118.55,-3.132,-28800.0,12,Time Stop,8000,2024-02
