Ticker,Date,Type,Description
AUROPHARMA,2024-02-20,Dividend,Interim Dividend - Rs  1.50 Per Share
AUROPHARMA,2025-08-08,Dividend,Interim Dividend - Rs 4 Per Share
AXISBANK,2022-07-07,Dividend,Dividend - Rs 1 Per Share
AXISBANK,2023-07-07,Dividend,Dividend - Re 1 Per Share
AXISBANK,2024-07-12,Dividend,Dividend - Re 1 Per Share
AXISBANK,2025-07-04,Dividend,Dividend - Re 1 Per Sh
BAJAJ-AUTO,2021-07-08,Dividend, Annual General Meeting/Dividend - Rs 140 Per Share
BAJAJ-AUTO,2022-06-30,Dividend,Dividend - Rs 140 Per Share
BAJAJ-AUTO,2023-06-30,Dividend,Dividend - Rs 140 Per Share
BAJAJ-AUTO,2024-06-14,Dividend,Dividend - Rs 80 Per Share
BAJAJ-AUTO,2025-06-20,Dividend,Dividend - Rs 210 Per Share
BAJAJFINSV,2021-07-08,Dividend, Annual General Meeting/Dividend - Rs 3 Per Share
BAJAJFINSV,2022-06-30,Dividend,Dividend - Rs 4 Per Share
BAJAJFINSV,2022-09-13,Split,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share
BAJAJFINSV,2022-09-13,Bonus,Bonus 1:1
BAJAJFINSV,2023-06-30,Dividend,Dividend - Rs 0.80 Per Share
BAJAJFINSV,2024-06-21,Dividend,Dividend - Re 1 Per Share
BAJAJFINSV,2025-06-27,Dividend,Dividend - Re 1 Per Share
BAJAJHLDNG,2021-07-08,Dividend, Annual General Meeting/Dividend - Rs 40 Per Share
BAJAJHLDNG,2021-09-28,Dividend, Interim Dividend - Rs 90 Per Share
BAJAJHLDNG,2022-06-30,Dividend,Dividend - Rs 25 Per Share
BAJAJHLDNG,2022-09-22,Dividend,Interim Dividend - Rs  110 Per Share
BAJAJHLDNG,2023-06-30,Dividend,Dividend - Rs 13 Per Share
BAJAJHLDNG,2023-09-28,Dividend,Interim Dividend - Rs 110 Per Share
BAJAJHLDNG,2024-06-28,Dividend,Dividend - Rs 21 Per Share
BAJAJHLDNG,2024-09-25,Dividend,Interim Dividend - Rs 65 Per Share
BAJAJHLDNG,2025-06-27,Dividend,Dividend - Rs 28 Per Share
BAJAJHLDNG,2025-09-22,Dividend,Interim Dividend - Rs 65 Per Share
BAJFINANCE,2021-07-08,Dividend, Annual General Meeting/Dividend - Rs 10 Per Share
BAJFINANCE,2022-06-30,Dividend,Dividend - Rs 20 Per Share
BAJFINANCE,2023-06-30,Dividend,Dividend - Rs 30 Per Share
BAJFINANCE,2024-06-21,Dividend,Dividend - Rs 36 Per Share
BAJFINANCE,2025-05-09,Dividend,Special Dividend - Rs 12 Per Share
BAJFINANCE,2025-05-30,Dividend,Dividend - Rs 44 Per Share
BAJFINANCE,2025-06-16,Bonus,Bonus 4:1
BAJFINANCE,2025-06-16,Split,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share
BANDHANBNK,2021-07-29,Dividend, Annual General Meeting/Dividend - Re 1 Per Share
BANDHANBNK,2023-08-11,Dividend,Annual General Meeting/Dividend - Rs 1.50 Per Share
BANDHANBNK,2024-08-13,Dividend,Annual General Meeting/Dividend - Rs 1.50 Per Share
BANDHANBNK,2025-08-14,Dividend,Dividend - Rs 1.50 Per Share
BANKBARODA,2022-06-17,Dividend,Annual General Meeting/Dividend - Rs 2.85 Per Share
BANKBARODA,2023-06-30,Dividend,Annual General Meeting/Dividend - Rs 5.50 Per Share
BANKBARODA,2024-06-28,Dividend,Annual General Meeting/Dividend - Rs 7.60 Per Share
BANKBARODA,2025-06-06,Dividend,Dividend - Rs 8.35 Per Share
BANKINDIA,2022-07-07,Dividend,Annual General Meeting/Dividend - Rs 2 Per Share
BANKINDIA,2023-06-20,Dividend,Dividend - Rs 2 Per Share
BANKINDIA,2024-06-18,Dividend,Annual General Meeting/Dividend - Rs 2.80 Per Share
BANKINDIA,2025-06-20,Dividend,Dividend - Rs 4.05 Per Share
BDL,2021-03-18,Dividend, Interim Dividend - Rs 6.70 Per Share
BDL,2021-09-17,Dividend, Annual General Meeting/Dividend - Rs 0.65 Per Share
BDL,2022-02-23,Dividend,Interim Dividend - Rs 7.30 Per Share
BDL,2022-09-16,Dividend,Annual General Meeting/Dividend - Re 1 Per Share
BDL,2023-02-20,Dividend,Interim Dividend - Rs  8.15 Per Share
BDL,2023-09-20,Dividend,Annual General Meeting/Dividend - Rs 1.20 Per Share
BDL,2024-04-02,Dividend,Interim Dividend - Rs 8.85 Per Share
BDL,2024-05-24,Split,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share
BDL,2024-09-23,Dividend,Annual General Meeting/Dividend - Rs  0.85 Per Share
BDL,2025-02-14,Dividend,Interim Dividend - Rs 4 Per Share
BDL,2025-09-19,Dividend,Dividend - Re 0.65 Per Share
BDL,2026-02-09,Dividend,Interim Dividend - Rs 4.50 Per Share
BEL,2021-02-08,Dividend, Interim Dividend - Rs 1.40 Per Share
BEL,2021-03-23,Dividend, Interim Dividend - Rs 1.40  Per Share
BEL,2021-09-14,Dividend, Annual General Meeting/Dividend - Rs 1.20 Per Share
BEL,2022-02-09,Dividend,Interim Dividend - Rs 1.50 Per Share
BEL,2022-03-24,Dividend,Interim Dividend - Rs 1.50 Per Share
BEL,2022-08-08,Dividend,Annual General Meeting/Dividend - Rs 1.50 Per Share
BEL,2022-09-15,Bonus,Bonus 2:1
BEL,2023-02-10,Dividend,Interim Dividend - Re 0.60 Per Share
BEL,2023-03-24,Dividend,Interim Dividend - Rs 0.60 Per Share
BEL,2023-08-17,Dividend,Annual General Meeting/Dividend - Re 0.60 Per Share
BEL,2024-02-09,Dividend,Interim Dividend - Re 0.70 Per Share
BEL,2024-03-22,Dividend,Interim Dividend - Re 0.70 Per Share
BEL,2024-08-14,Dividend,Annual General Meeting/Dividend - Re 0.80 Per Share
BEL,2025-03-11,Dividend,Interim Dividend - Rs 1.5 Per Share
BEL,2025-08-14,Dividend,Dividend - Rs 0.90 Per Share
BEL,2026-03-06,Dividend,Interim Dividend - Rs 1.95 Per Share
BHARATFORG,2021-07-15,Dividend, Dividend - Rs 2 Per Share
BHARATFORG,2021-11-25,Dividend, Interim Dividend - Rs 1.50 Per Share
BHARATFORG,2022-07-14,Dividend,Dividend - Rs 5.50 Per Share
BHARATFORG,2022-11-24,Dividend,Interim Dividend - Rs 1.50 Per Share
BHARATFORG,2023-07-07,Dividend,Dividend - Rs 5.50 Per Share
BHARATFORG,2024-02-23,Dividend,Interim Dividend - Rs 2.50 Per Share
BHARATFORG,2024-07-05,Dividend,Dividend - Rs 6.50 Per Share
BHARATFORG,2025-02-18,Dividend,Interim Dividend - Rs 2.5 Per Share
BHARATFORG,2025-07-04,Dividend,Dividend - Rs 6 Per Share
BHARATFORG,2026-02-18,Dividend,Interim Dividend - Rs 2 Per Share
BHARTIARTL,2022-08-01,Dividend,Dividend - Rs 3 Per Share
BHARTIARTL,2023-08-11,Dividend,Dividend - Rs 4 Per Share
BHARTIARTL,2024-08-07,Dividend,Dividend - Rs 8 Per Share
BHARTIARTL,2025-07-18,Dividend,Dividend - Rs 16 Per Share
BHEL,2022-09-15,Dividend,Dividend - Re 0.40 Per Share
BHEL,2023-08-11,Dividend,Dividend - Re 0.40 Per Share
BHEL,2024-08-09,Dividend,Dividend - Rs 0.25 Per Share
BHEL,2025-08-01,Dividend,Dividend - Re 0.50 Per Share
BIOCON,2022-06-30,Dividend,Dividend - Rs 0.50 Per Share
BIOCON,2023-07-07,Dividend,Dividend - Rs 1.50 Per Share
BIOCON,2024-07-05,Dividend,Dividend - Re 0.50 Per Share
BIOCON,2025-07-04,Dividend,Dividend - Rs 0.50 Per Share
BLUESTARCO,2021-07-22,Dividend, Dividend - Rs 4 Per Share
BLUESTARCO,2022-07-21,Dividend,Dividend - Rs 10 Per Share
BLUESTARCO,2023-06-20,Bonus,Bonus 1:1
BLUESTARCO,2023-07-21,Dividend,Dividend - Rs 6 Per Share
BLUESTARCO,2024-07-19,Dividend,Dividend - Rs 7 Per Share
BLUESTARCO,2025-07-18,Dividend,Dividend - Rs 9 Per Share
BOSCHLTD,2021-07-12,Dividend, Annual General Meeting/Dividend - Rs 115 Per Share
BOSCHLTD,2022-07-14,Dividend,Annual General Meeting/Dividend - Rs 110 Per Share/Special Dividend - Rs 100 Per Share
BOSCHLTD,2023-02-22,Dividend,Interim Dividend - Rs 200 Per Share
BOSCHLTD,2023-07-14,Dividend,Annual General Meeting/Dividend - Rs 280 Per Share
BOSCHLTD,2024-02-23,Dividend,Interim Dividend - Rs 205 Per Share
BOSCHLTD,2024-07-19,Dividend,Annual General Meeting/Dividend - Rs 170 Per Share
BOSCHLTD,2025-07-29,Dividend,Dividend - Rs 512 Per Share
BPCL,2021-02-17,Dividend, Interim Dividend - Rs 16 Per Share
BPCL,2021-03-25,Dividend, Interim Dividend - Rs 5 Per Share
BPCL,2021-09-16,Dividend, Annual General Meeting/Dividend - Rs 23 Per Share/Special Dividend - Rs 35 Per Share
BPCL,2021-11-11,Dividend, Interim Dividend - Rs 5 Per Share
BPCL,2022-02-10,Dividend,Interim Dividend - Rs 5 Per Share
BPCL,2022-08-19,Dividend,Annual General Meeting/Dividend - Rs 6 Per Share
BPCL,2023-08-11,Dividend,Dividend - Rs 4 Per Share
BPCL,2023-12-12,Dividend,Interim Dividend - Rs 21 Per Share
BPCL,2024-06-21,Bonus,Bonus 1:1
BPCL,2024-08-09,Dividend,Dividend - Rs 10.5 Per Share
BPCL,2025-01-29,Dividend,Interim Dividend - Rs 5 Per Share
BPCL,2025-07-31,Dividend,Dividend - Rs 5 Per Share
BPCL,2025-11-07,Dividend,Interim Dividend - Rs 7.50 Per Share
BPCL,2026-02-02,Dividend,Interim Dividend - Rs 10 Per Share
BRITANNIA,2021-04-08,Dividend, Interim Dividend - Rs 62 Per Share
BRITANNIA,2021-05-25,Bonus, Scheme Of Arangement- Bonus - 1 Debenture For 1 Equity Share Held
BRITANNIA,2021-05-25,Dividend, Dividend - Rs 12.50 Per Share Pursuant To Scheme
BRITANNIA,2022-06-20,Dividend,Annual General Meeting/Dividend - Rs 56.50 Per Share
BRITANNIA,2023-04-13,Dividend,Interim Dividend - Rs 72 Per Share
BRITANNIA,2024-08-05,Dividend,Annual General Meeting/ Dividend - Rs 73.5 Per Share
BRITANNIA,2025-08-04,Dividend,Dividend - Rs 75 Per Share
BSE,2021-08-05,Dividend, Dividend - Rs 21 Per Share
BSE,2022-03-21,Bonus,Bonus 2:1
BSE,2022-06-23,Dividend,Dividend - Rs 13.50 Per Share
BSE,2023-08-04,Dividend,Dividend - Rs 12 Per Sh
BSE,2024-06-14,Dividend,Dividend - Rs 15 Per Share
BSE,2025-05-14,Dividend,Dividend - Rs 23 Per Share
BSE,2025-05-23,Bonus,Bonus 2:1
CAMS,2021-07-28,Dividend, Dividend - Rs 11.84 Per Share
CAMS,2021-08-27,Dividend, Interim Dividend - Rs 6.50 Per Share
CAMS,2021-11-23,Dividend, Interim Dividend - Rs 9.50 Per Share
CAMS,2022-02-17,Dividend,Interim Dividend - Rs 10.75 Per Share
CAMS,2022-06-23,Dividend,Dividend - Rs 12 Per Share
CAMS,2022-08-12,Dividend,Interim Dividend - Rs 6.75 Per Share
CAMS,2022-11-16,Dividend,Interim Dividend - Rs 8.50 Per Share
CAMS,2023-02-15,Dividend,Interim Dividend - Rs  10.50 Per Share
CAMS,2023-08-14,Dividend,Dividend - Rs 12 Per Share
CAMS,2023-08-14,Dividend,Interim Dividend - Rs 8 Per Share
CAMS,2023-11-17,Dividend,Interim Dividend - Rs 10 Per Share
CAMS,2024-02-16,Dividend,Interim Dividend - Rs 12 Per Share
CAMS,2024-07-08,Dividend,Dividend - Rs 16.50 Per Share
CAMS,2024-08-12,Dividend,Interim Dividend - Rs 11 Per Share
