symbol,expiry,entry_date,exit_date,direction,entry_premium_pct,exit_premium_pct,pnl_pct,pnl_rupees,spot,lot_size,days_held,month
NESTLEIND,2023-03-29,2023-03-24,2023-03-29,SELL,1378.539,1383.845,-5.306,-2718.0,1280.7,40,5,2023-03
NESTLEIND,2023-04-27,2023-04-24,2023-04-27,SELL,1518.927,1549.336,-30.409,-15578.0,1280.7,40,3,2023-04
NESTLEIND,2023-05-25,2023-05-22,2023-05-25,SELL,1576.72,1577.325,-0.605,-310.0,1280.7,40,3,2023-05
NESTLEIND,2023-06-29,2023-06-26,2023-06-27,SELL,1666.596,1665.371,1.226,628.0,1280.7,40,1,2023-06
NESTLEIND,2023-07-27,2023-07-24,2023-07-27,SELL,1686.48,1639.818,46.662,23904.0,1280.7,40,3,2023-07
NESTLEIND,2023-08-31,2023-08-28,2023-08-31,SELL,1618.802,1614.832,3.97,2034.0,1280.7,40,3,2023-08
NESTLEIND,2023-09-28,2023-09-25,2023-09-28,SELL,1666.6,1665.187,1.413,724.0,1280.7,40,3,2023-09
NESTLEIND,2023-10-26,2023-10-23,2023-10-26,SELL,1791.208,1742.012,49.196,25202.0,1280.7,40,3,2023-10
NESTLEIND,2023-11-30,2023-11-24,2023-11-30,SELL,1788.842,1792.93,-4.088,-2094.0,1280.7,40,6,2023-11
NESTLEIND,2024-01-25,2024-01-20,2024-01-25,SELL,93.531,93.699,-0.168,-860.0,1280.7,400,5,2024-01
NESTLEIND,2024-02-29,2024-02-26,2024-02-29,SELL,101.515,102.362,-0.847,-4340.0,1280.7,400,3,2024-02
NESTLEIND,2024-03-28,2024-03-22,2024-03-28,SELL,101.507,104.279,-2.772,-14200.0,1280.7,400,6,2024-03
NESTLEIND,2024-04-25,2024-04-22,2024-04-25,SELL,92.461,99.957,-7.496,-38400.0,1280.7,400,3,2024-04
NESTLEIND,2024-05-30,2024-05-27,2024-05-30,SELL,92.652,87.519,5.134,13150.0,1280.7,200,3,2024-05
NESTLEIND,2024-06-27,2024-06-24,2024-06-27,SELL,97.494,97.443,0.051,130.0,1280.7,200,3,2024-06
NESTLEIND,2024-07-25,2024-07-22,2024-07-25,SELL,102.253,93.679,8.573,21960.0,1280.7,200,3,2024-07
