Ticker,Date,Type,Description
CUMMINSIND,2022-08-02,Dividend,Annual General Meeting/Dividend - Rs 10.5 Per Sh
CUMMINSIND,2023-02-21,Dividend,Interim Dividend - Rs 12 Per Share
DABUR,2021-07-29,Dividend, Annual General Meeting/Dividend - Rs 3 Per Share
DABUR,2021-11-11,Dividend, Interim Dividend - Rs 2.50 Per Share
DABUR,2022-07-21,Dividend,Annual General Meeting/Dividend - Rs  2.70 Per Share
DABUR,2022-11-03,Dividend,Interim Dividend - Rs 2.5 Per Share
DALBHARAT,2021-09-21,Dividend, Annual General Meeting/Dividend - Rs 1.33 Per Share
DALBHARAT,2021-11-09,Dividend, Interim Dividend - Rs 4 Per Share
DALBHARAT,2022-06-23,Dividend,Dividend - Rs 5 Per Share
DALBHARAT,2022-11-10,Dividend,Interim Dividend - Rs 4 Per Share
DIVISLAB,2021-08-17,Dividend, Dividend - Rs 20 Per Share
DIVISLAB,2022-08-11,Dividend,Dividend - Rs 30 Per Share
DIXON,2021-03-18,Split, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
DIXON,2021-09-20,Dividend, Annual General Meeting/Dividend - Re 1 Per Share
DIXON,2022-08-11,Dividend,Annual General Meeting/Dividend - Rs 2 Per Share
DLF,2021-08-23,Dividend, Dividend - Rs 2 Per Share
DLF,2022-08-02,Dividend,Dividend - Rs 3 Per Share
DRREDDY,2021-07-09,Dividend, Annual General Meeting/Dividend - Rs 25 Per Share
DRREDDY,2022-07-11,Dividend,Annual General Meeting/Dividend - Rs 30 Per Share
EICHERMOT,2021-08-09,Dividend, Annual General Meeting/Dividend - Rs 17 Per Share
EICHERMOT,2022-08-12,Dividend,Annual General Meeting/Dividend - Rs 21 Per Share
EXIDEIND,2021-02-04,Dividend, Interim Dividend - Rs  2.00 Per Share
EXIDEIND,2022-02-07,Dividend,Interim Dividend - Rs 2 Per Share
FEDERALBNK,2021-07-01,Dividend, Annual General Meeting/Dividend - Rs 0.70 Per Share
FEDERALBNK,2022-07-19,Dividend,Annual General Meeting/Dividend - Rs  1.80 Per Share
GAIL,2021-01-27,Dividend, Interim Dividend - Rs 2.50 Per Share
