strategy,symbol,entry_date,exit_date,pnl_pct,portfolio_pnl,days_held,exit_reason
PAIR,NHPC/PFC,2025-03-11,2025-03-12,1.8482,10008.0,1,z_revert
PAIR,NHPC/PFC,2025-03-12,2025-03-13,0.335,1826.0,1,z_revert
PAIR,JSWSTEEL/HINDALCO,2025-02-28,2025-03-17,-0.9102,-4967.0,17,time_stop
PAIR,NHPC/PFC,2025-03-13,2025-03-17,0.3408,1854.0,4,z_revert
PAIR,NHPC/PFC,2025-03-17,2025-03-18,-1.0267,-5591.0,1,z_revert
PAIR,VEDL/SAIL,2025-03-07,2025-03-19,-0.8219,-4460.0,12,z_revert
PAIR,NHPC/PFC,2025-03-18,2025-03-19,0.0683,369.0,1,z_revert
PAIR,CHOLAFIN/LICHSGFIN,2025-03-07,2025-03-20,0.48,2598.0,13,z_revert
PAIR,NHPC/PFC,2025-03-19,2025-03-20,0.0109,59.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-03-19,2025-03-20,-0.6205,-3364.0,1,z_revert
PAIR,JSWSTEEL/HINDALCO,2025-03-17,2025-03-21,1.4432,7807.0,4,z_revert
PAIR,NHPC/PFC,2025-03-20,2025-03-21,1.0594,5760.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-03-20,2025-03-21,-0.5062,-2762.0,1,z_revert
PAIR,NHPC/PFC,2025-03-21,2025-03-24,-2.1751,-11849.0,3,z_revert
PAIR,POWERGRID/RECLTD,2025-03-21,2025-03-24,0.3555,1922.0,3,z_revert
PAIR,JSWSTEEL/HINDALCO,2025-03-21,2025-03-24,-0.2593,-1403.0,3,z_revert
BREAKOUT,VEDL,2025-03-20,2025-03-25,-2.0661,-11173.0,5,stoploss
PAIR,POWERGRID/RECLTD,2025-03-24,2025-03-25,-0.1004,-539.0,1,z_revert
PAIR,CHOLAFIN/LICHSGFIN,2025-03-25,2025-03-26,-0.5448,-2924.0,1,z_revert
PAIR,NHPC/PFC,2025-03-24,2025-03-28,0.8928,4782.0,4,z_revert
BREAKOUT,KOTAKBANK,2025-03-24,2025-04-01,-0.6627,-3561.0,8,time_stop
PAIR,NHPC/PFC,2025-03-28,2025-04-01,1.0,5361.0,4,z_revert
BREAKOUT,AMBUJACEM,2025-03-26,2025-04-02,1.025,5514.0,7,time_stop
PAIR,NHPC/PFC,2025-04-01,2025-04-02,-0.158,-853.0,1,z_revert
PAIR,CHOLAFIN/LICHSGFIN,2025-04-01,2025-04-02,0.6629,3577.0,1,z_revert
PAIR,NHPC/PFC,2025-04-02,2025-04-03,-0.2077,-1123.0,1,z_revert
PAIR,NHPC/PFC,2025-04-03,2025-04-04,0.8703,4703.0,1,z_revert
BREAKOUT,ICICIGI,2025-04-02,2025-04-07,-4.8196,-26126.0,5,stoploss
PAIR,NHPC/PFC,2025-04-04,2025-04-07,1.2795,6819.0,3,z_revert
PAIR,NHPC/PFC,2025-04-07,2025-04-08,-0.0114,-61.0,1,z_revert
PAIR,DLF/GODREJPROP,2025-04-07,2025-04-08,0.1404,751.0,1,z_revert
PAIR,POWERGRID/RECLTD,2025-03-25,2025-04-09,-6.1211,-32782.0,15,time_stop
BREAKOUT,BRITANNIA,2025-04-02,2025-04-09,5.4932,28789.0,7,time_stop
PAIR,NHPC/PFC,2025-04-08,2025-04-09,1.1586,6189.0,1,z_revert
BREAKOUT,HINDPETRO,2025-04-08,2025-04-11,3.1292,16783.0,3,target
PAIR,NHPC/PFC,2025-04-09,2025-04-11,-1.0245,-5555.0,2,z_revert
PAIR,DLF/GODREJPROP,2025-04-09,2025-04-11,-1.5288,-8259.0,2,z_revert
PAIR,NHPC/PFC,2025-04-11,2025-04-15,-2.3791,-12784.0,4,z_revert
PAIR,NHPC/PFC,2025-04-15,2025-04-16,0.334,1780.0,1,z_revert
BREAKOUT,BPCL,2025-04-11,2025-04-21,3.4418,18363.0,10,time_stop
BREAKOUT,TITAN,2025-04-11,2025-04-21,3.0245,16331.0,10,time_stop
