,entry_date,exit_date,pair,strategy,direction,days,entry_z,exit_z,gross,charges,net,reason,win
102,2024-08-07,2024-08-08,BAJFINANCE/SHRIRAMFIN,PAIRS,BUY_A,1,-1.719,-1.53,22783.0,2734.0,20049.0,INTRADAY,True
103,2024-08-07,2024-08-09,TATASTEEL/JINDALSTEL,PAIRS,BUY_A,2,-1.759,-1.369,10390.0,1247.0,9143.0,PROFIT,True
104,2024-08-07,2024-08-12,BAJAJFINSV/MUTHOOTFIN,PAIRS,BUY_A,5,-2.062,-2.626,-39903.0,4788.0,-44692.0,TIME_STOP,False
105,2024-08-08,2024-08-09,OBEROIRLTY_CAL,CALENDAR,SELL_NEAR,1,2.72,1.671,15242.0,1829.0,13413.0,INTRADAY,True
106,2024-08-08,2024-08-09,ITC_CAL,CALENDAR,SELL_NEAR,1,2.146,0.265,720.0,86.0,634.0,PROFIT,True
107,2024-08-09,2024-08-12,SAIL/NMDC,PAIRS,BUY_A,3,-2.103,-2.09,13734.0,1648.0,12086.0,INTRADAY,True
108,2024-08-09,2024-08-13,BAJFINANCE/SHRIRAMFIN,PAIRS,BUY_A,4,-1.769,-1.616,22356.0,2683.0,19673.0,INTRADAY,True
109,2024-08-12,2024-08-14,SAIL/NMDC,PAIRS,BUY_A,2,-2.09,-1.82,15838.0,1901.0,13937.0,INTRADAY,True
110,2024-08-12,2024-08-13,OBEROIRLTY_CAL,CALENDAR,SELL_NEAR,1,2.234,-0.342,4375.0,525.0,3850.0,PROFIT,True
111,2024-08-12,2024-08-19,LICHSGFIN/HDFCAMC,PAIRS,BUY_A,7,-2.127,-1.473,30600.0,3672.0,26928.0,PROFIT,True
112,2024-08-13,2024-08-19,TATASTEEL/JINDALSTEL,PAIRS,BUY_A,6,-1.682,-1.435,432.0,52.0,380.0,PROFIT,True
113,2024-08-13,2024-08-14,SAIL_CAL,CALENDAR,SELL_NEAR,1,2.299,2.221,8560.0,1027.0,7533.0,INTRADAY,True
114,2024-08-13,2024-08-14,LTF/MANAPPURAM,PAIRS,BUY_A,1,-2.189,-1.915,22548.0,2706.0,19842.0,INTRADAY,True
