date,capital
2023-08-31,1096805.8534514057
2023-08-31,1096117.121155878
2023-08-31,1097327.2744440942
2023-08-31,1099326.0306136457
2023-08-31,1100314.729182853
2023-08-31,1100963.6921269645
2023-08-31,1101043.6488737138
2023-08-31,1106646.6815404394
2023-08-31,1108484.6257843252
2023-08-31,1112036.5134952278
2023-08-31,1111104.092161229
2023-08-31,1111576.025039694
2023-08-31,1112570.0328587068
2023-08-31,1103972.6236962029
2023-08-31,1104438.288133754
2023-08-31,1106849.421898875
2023-08-31,1106911.9429385832
2023-08-31,1107048.360184938
2023-08-31,1107032.1180351058
2023-08-31,1107303.3579577275
2023-08-31,1110373.0190721469
2023-08-31,1109237.541402058
2023-08-31,1110485.7778023041
2023-08-31,1112137.0310066226
2023-08-31,1112772.570704672
2023-08-31,1113402.7594404523
2023-08-31,1113300.6633222245
2023-08-31,1112536.2376911913
2023-08-31,1113699.2276203441
2023-08-31,1112689.4323945069
2023-08-31,1111409.5591932891
2023-08-31,1113047.5105060048
2023-08-31,1114072.2284760245
2023-08-31,1114290.4369105191
2023-08-31,1115447.9038109519
2023-08-31,1116399.5509148599
2023-08-31,1116573.9909559977
2023-08-31,1114177.3181232768
2023-08-31,1114411.0765469903
2023-08-31,1117656.5857927464
2023-08-31,1117181.8697932377
2023-08-31,1117290.0492345458
2023-08-31,1117327.7517812352
2023-08-31,1117181.854394871
2023-08-31,1115761.589476668
2023-08-31,1114194.163251798
2023-08-31,1115617.9860861711
2023-08-31,1115063.114961157
2023-09-28,1114831.6246549129
2023-09-28,1114101.3139565554
2023-09-28,1113076.4430925096
2023-09-28,1112706.5551986657
2023-09-28,1112588.1977560448
2023-09-28,1114645.7658565321
2023-09-28,1114026.781499034
2023-09-28,1113086.1535496819
2023-09-28,1112728.5104792987
2023-09-28,1112676.2689221206
2023-09-28,1113118.6688382367
2023-09-28,1117702.8397261186
2023-09-28,1116720.5714993132
2023-09-28,1115453.264731725
2023-09-28,1113844.5397118253
2023-09-28,1113513.6170360611
2023-09-28,1112918.9500404957
2023-09-28,1112223.365284056
2023-09-28,1110750.6589846737
2023-09-28,1111477.4814757358
2023-09-28,1110420.7793192451
2023-09-28,1108356.6299815564
2023-09-28,1108017.5809545962
2023-09-28,1107234.023928626
2023-09-28,1108442.642540308
2023-09-28,1107564.4618077248
2023-09-28,1109479.4915288175
2023-09-28,1109268.6937808872
2023-09-28,1110418.503147123
2023-09-28,1113581.5163470763
2023-09-28,1112897.7709816678
2023-09-28,1113934.5970726877
2023-09-28,1113500.685595488
2023-09-28,1112647.9038186627
2023-09-28,1113583.2864373452
2023-09-28,1112460.8639458318
2023-09-28,1110813.2024819725
2023-09-28,1110550.8145670271
2023-09-28,1109890.1116669853
2023-09-28,1108952.1623205722
2023-09-28,1108390.0310006102
2023-09-28,1108209.5246402745
2023-09-28,1106464.9139877576
2023-09-28,1104654.868730183
2023-09-28,1102707.5936517713
2023-09-28,1102265.921586649
2023-09-28,1103009.0242466864
2023-09-28,1104033.4009550037
2023-09-28,1102561.0104257546
2023-09-28,1099466.4816883663
2023-09-28,1099055.1434403537
2023-09-28,1099790.437818069
2023-09-28,1100515.7359434303
2023-09-28,1107884.9099587891
2023-09-28,1105917.3120134666
2023-09-28,1104826.1434015697
2023-09-28,1104087.7985631216
2023-09-28,1102836.4479288524
2023-09-28,1102719.1403593083
2023-09-28,1100755.0542727616
2023-09-28,1098217.9180088686
2023-09-28,1105732.0258866022
2023-09-28,1107362.4210178454
2023-09-28,1106180.4694023551
2023-09-28,1104787.1739956394
2023-09-28,1105460.6568925804
2023-09-28,1104908.4048554988
2023-09-28,1105547.9190733423
2023-09-28,1109641.0703901034
2023-09-28,1109457.104254512
2023-09-28,1105664.4491040164
2023-09-28,1105080.4626599487
2023-09-28,1103254.8475949762
2023-09-28,1107698.849249366
2023-09-28,1110756.605388039
2023-09-28,1106946.4706764608
2023-10-26,1105164.8708282197
2023-10-26,1105344.0412307417
2023-10-26,1103732.0570397645
2023-10-26,1102502.1611384437
2023-10-26,1100954.9793551164
2023-10-26,1099359.0876253732
2023-10-26,1096620.3263647528
2023-10-26,1136196.4275904703
2023-10-26,1143773.6843022793
2023-10-26,1146467.8687796372
2023-10-26,1149844.5834220476
2023-10-26,1150083.2944610715
2023-10-26,1149411.727554666
2023-10-26,1147947.1163027957
2023-10-26,1145563.9451088095
2023-10-26,1143855.489735987
2023-10-26,1143152.3168708235
2023-10-26,1140681.8230768337
2023-10-26,1139806.5508876476
2023-10-26,1138980.4463319762
2023-10-26,1137919.3204363992
2023-10-26,1137919.3204363992
2023-10-26,1138792.472891857
2023-10-26,1170885.8160170254
2023-10-26,1171225.0962553578
2023-10-26,1170951.0158572034
2023-10-26,1170125.5311362497
2023-10-26,1170245.7042778933
2023-10-26,1168624.05871766
2023-10-26,1170348.0450460352
2023-10-26,1169204.4660168383
2023-10-26,1170901.8620529217
2023-10-26,1170573.7435031126
2023-10-26,1169517.532192793
2023-10-26,1169750.0321896877
2023-10-26,1167470.0495295483
2023-10-26,1165667.2610589599
2023-10-26,1165737.380004308
2023-10-26,1165811.778970192
2023-10-26,1165178.919792548
2023-10-26,1166919.1925286164
2023-10-26,1167015.0676064119
2023-10-26,1165771.1574851882
2023-10-26,1165760.895261518
2023-10-26,1165063.9253726914
2023-10-26,1163016.1444502214
2023-10-26,1162883.903985893
2023-10-26,1160438.1601022878
2023-10-26,1160022.7388145232
2023-10-26,1157635.7724909275
2023-10-26,1157206.068507878
2023-10-26,1157400.4670970135
2023-10-26,1155260.8743454195
2023-10-26,1154040.5100829594
2023-10-26,1153286.2073487572
2023-10-26,1151534.0862437724
2023-10-26,1153514.1598241674
2023-10-26,1155625.4134277056
2023-10-26,1157805.8073961916
2023-10-26,1157229.953457917
2023-10-26,1160586.58178352
2023-10-26,1160528.6878068603
2023-10-26,1168820.7349254186
2023-10-26,1168099.6426769306
2023-10-26,1166209.3357619154
2023-10-26,1166248.6890721514
2023-10-26,1164555.5840939756
2023-10-26,1160590.8075582301
2023-10-26,1160876.02156996
2023-10-26,1160777.2366269066
2023-10-26,1159991.2819408025
2023-10-26,1159410.0862939325
2023-10-26,1159525.7568721187
2023-10-26,1159177.0093097053
2023-10-26,1155982.251960656
2023-10-26,1154939.2065858333
2023-11-06,1159703.1355626557
2023-11-23,1161425.2241389076
2023-11-23,1166507.1299217176
2023-11-30,1166397.5970961407
2023-11-30,1167020.5065460908
2023-11-30,1167249.9418290695
2023-11-30,1158466.3230296369
2023-11-30,1161023.451366184
2023-11-30,1161268.7416827506
2023-11-30,1162359.1511904846
2023-11-30,1164068.7792611222
2023-11-30,1164068.7792611222
2023-11-30,1164774.1307909938
2023-11-30,1165745.644884335
