Ticker,Date,Dividends,Stock Splits
BEL,2024-03-21,0.7,0.0
BEL,2024-08-13,0.8,0.0
BEL,2025-03-10,1.5,0.0
BEL,2025-08-13,0.9,0.0
BEL,2026-03-05,1.95,0.0
LTIM,2023-07-09,40.0,0.0
LTIM,2023-10-26,20.0,0.0
LTIM,2024-06-18,45.0,0.0
LTIM,2024-10-24,20.0,0.0
LTIM,2025-05-22,45.0,0.0
LTIM,2025-10-23,22.0,0.0
ADANIENT,2023-07-06,1.163382,0.0
ADANIENT,2024-06-13,1.260331,0.0
ADANIENT,2025-06-12,1.260331,0.0
IEX,2023-07-27,1.0,0.0
IEX,2024-02-01,1.0,0.0
IEX,2024-05-30,1.5,0.0
IEX,2025-01-30,1.5,0.0
IEX,2025-05-15,1.5,0.0
IEX,2026-02-03,1.5,0.0
ABB,2023-04-26,5.5,0.0
ABB,2023-08-24,5.5,0.0
ABB,2024-05-02,23.8,0.0
ABB,2024-08-22,10.66,0.0
ABB,2025-05-01,33.5,0.0
ABB,2025-08-07,9.77,0.0
COALINDIA,2023-08-17,4.0,0.0
COALINDIA,2023-11-20,15.25,0.0
COALINDIA,2024-02-19,5.25,0.0
COALINDIA,2024-08-15,5.0,0.0
COALINDIA,2024-11-04,15.75,0.0
COALINDIA,2025-01-30,5.6,0.0
COALINDIA,2025-08-05,5.5,0.0
COALINDIA,2025-08-20,5.15,0.0
COALINDIA,2025-11-03,10.25,0.0
COALINDIA,2026-02-17,5.5,0.0
INDIGO,2025-08-12,10.0,0.0
EICHERMOT,2023-08-13,37.0,0.0
EICHERMOT,2024-08-06,51.0,0.0
EICHERMOT,2025-07-31,70.0,0.0
PNBHOUSING,2025-07-31,5.0,0.0
OFSS,2023-05-08,225.0,0.0
OFSS,2024-05-06,240.0,0.0
OFSS,2025-05-07,265.0,0.0
OFSS,2025-11-02,130.0,0.0
KFINTECH,2024-08-22,5.75,0.0
KFINTECH,2025-08-21,7.5,0.0
TRENT,2023-05-24,2.2,0.0
TRENT,2024-05-21,3.2,0.0
TRENT,2025-06-11,5.0,0.0
CONCOR,2023-08-17,1.6,0.0
CONCOR,2023-09-17,1.6,0.0
CONCOR,2023-11-15,2.4,0.0
CONCOR,2024-02-06,3.2,0.0
CONCOR,2024-08-15,1.6,0.0
CONCOR,2024-09-16,2.0,0.0
CONCOR,2024-11-13,2.6,0.0
CONCOR,2025-02-05,3.4,0.0
CONCOR,2025-06-05,1.6,0.0
CONCOR,2025-07-03,0.0,1.25
CONCOR,2025-08-12,1.6,0.0
CONCOR,2025-11-19,2.6,0.0
CONCOR,2026-02-08,3.4,0.0
NBCC,2023-08-31,0.36,0.0
NBCC,2024-09-05,0.42,0.0
NBCC,2024-10-06,0.0,1.5
NBCC,2025-02-17,0.53,0.0
NBCC,2025-08-12,0.21,0.0
NBCC,2025-08-28,0.14,0.0
NBCC,2025-11-18,0.21,0.0
NBCC,2026-02-24,0.12,0.0
NUVAMA,2024-08-06,81.5,0.0
NUVAMA,2024-11-06,63.0,0.0
NUVAMA,2025-06-02,69.0,0.0
NUVAMA,2025-11-10,70.0,0.0
NUVAMA,2025-12-25,0.0,5.0
MCX,2023-09-14,3.818,0.0
MCX,2024-09-18,1.528,0.0
MCX,2025-08-07,6.0,0.0
MCX,2026-01-01,0.0,5.0
HDFCAMC,2023-06-08,24.0,0.0
HDFCAMC,2024-06-17,35.0,0.0
HDFCAMC,2025-06-05,45.0,0.0
HDFCAMC,2025-11-25,0.0,2.0
LODHA,2023-05-25,0.0,2.0
LODHA,2023-05-30,0.0,2.0
LODHA,2023-09-07,1.0,0.0
LODHA,2024-08-15,2.25,0.0
LODHA,2025-08-21,4.25,0.0
COLPAL,2023-05-18,21.0,0.0
COLPAL,2023-11-05,22.0,0.0
COLPAL,2024-05-21,36.0,0.0
COLPAL,2024-11-03,24.0,0.0
COLPAL,2025-05-27,27.0,0.0
COLPAL,2025-11-02,24.0,0.0
AUBANK,2023-07-13,1.0,0.0
AUBANK,2024-07-11,1.0,0.0
AUBANK,2025-07-03,1.0,0.0
PHOENIXLTD,2023-09-14,2.5,0.0
PHOENIXLTD,2024-08-19,2.5,0.0
PHOENIXLTD,2024-09-19,0.0,2.0
PHOENIXLTD,2025-09-14,2.5,0.0
TATAPOWER,2023-06-06,2.0,0.0
TATAPOWER,2024-07-03,2.0,0.0
TATAPOWER,2025-06-19,2.25,0.0
PIDILITIND,2023-07-26,5.5,0.0
PIDILITIND,2024-07-23,8.0,0.0
PIDILITIND,2025-07-22,10.0,0.0
PIDILITIND,2025-09-22,0.0,2.0
JSWSTEEL,2023-07-10,3.4,0.0
JSWSTEEL,2024-07-08,7.3,0.0
JSWSTEEL,2025-07-07,2.8,0.0
BLUESTARCO,2023-06-19,0.0,2.0
BLUESTARCO,2023-07-20,6.0,0.0
BLUESTARCO,2024-07-18,7.0,0.0
BLUESTARCO,2025-07-17,9.0,0.0
MARUTI,2023-08-02,90.0,0.0
MARUTI,2024-08-01,125.0,0.0
MARUTI,2025-07-31,135.0,0.0
GLENMARK,2023-09-17,2.5,0.0
GLENMARK,2024-09-12,2.5,0.0
GLENMARK,2025-09-14,2.5,0.0
GLENMARK,2025-10-02,2.5,0.0
CUMMINSIND,2023-07-25,13.0,0.0
CUMMINSIND,2024-02-20,18.0,0.0
CUMMINSIND,2024-07-18,20.0,0.0
CUMMINSIND,2025-02-13,18.0,0.0
CUMMINSIND,2025-07-17,33.5,0.0
CUMMINSIND,2026-02-10,20.0,0.0
CGPOWER,2024-02-04,1.3,0.0
CGPOWER,2025-03-20,1.3,0.0
