pair,strategy,entry_date,exit_date,days,direction,entry_z,exit_z,entry_spread,exit_spread,gross,charges,net,reason,win,shares_a,shares_b
GMRAIRPORT/IRCTC,PAIRS,2024-06-25,2024-07-01,6,SELL_A,1.964,1.969,,,-26435.0,3172.0,-29608.0,TIME_STOP,False,9359,1174
TECHM/MPHASIS,PAIRS,2024-07-01,2024-07-02,1,SELL_A,1.948,1.912,,,12167.0,1460.0,10707.0,INTRADAY,True,809,370
HCLTECH/PERSISTENT,PAIRS,2024-06-28,2024-07-03,5,BUY_A,-2.499,-3.084,,,-37700.0,4524.0,-42224.0,TIME_STOP,False,476,136
TECHM/MPHASIS,PAIRS,2024-07-02,2024-07-03,1,SELL_A,1.912,1.465,,,18531.0,2224.0,16307.0,PROFIT,True,811,372
TCS/WIPRO,PAIRS,2024-07-01,2024-07-08,7,BUY_A,-2.723,-2.347,,,-22424.0,2691.0,-25114.0,TIME_STOP,False,236,2023
NHPC/HUDCO,PAIRS,2024-07-03,2024-07-08,5,BUY_A,-2.141,-2.584,,,-92166.0,11060.0,-103226.0,TIME_STOP,False,8594,3726
COLPAL_CAL,CALENDAR,2024-07-08,2024-07-09,1,BUY_NEAR,-2.125,-1.438,-18.95,22.43,14481.0,1738.0,12744.0,INTRADAY,True,350,350
NHPC/IRFC,PAIRS,2024-07-08,2024-07-09,1,BUY_A,-3.198,-1.996,,,67205.0,8065.0,59141.0,INTRADAY,True,8265,5489
NHPC/IRFC,PAIRS,2024-07-09,2024-07-11,2,BUY_A,-1.996,-1.621,,,24811.0,2977.0,21834.0,INTRADAY,True,8450,5611
SHRIRAMFIN/LICHSGFIN,PAIRS,2024-07-11,2024-07-12,1,BUY_A,-2.082,-0.891,,,35594.0,4271.0,31322.0,PROFIT,True,398,1329
NHPC/IRFC,PAIRS,2024-07-12,2024-07-16,4,BUY_A,-2.75,-1.994,,,49763.0,5972.0,43791.0,INTRADAY,True,8586,5701
NHPC/IRFC,PAIRS,2024-07-16,2024-07-18,2,BUY_A,-1.994,-1.986,,,33676.0,4041.0,29634.0,INTRADAY,True,8698,5776
