pair,sector,tier,win_rate,trades,avg_return,avg_days,max_dd,lookback,z_entry,z_stop,time_stop,score,overall_corr,recent_corr,data_days,data_years
LT/DLF,Infra & Realty,2,81.8,11,2.24,23.9,-8.92,60,2.0,3.5,30,607.7,0.569,0.679,496,2.0
HCLTECH/TECHM,IT Services,2,85.7,14,1.89,19.9,-8.84,30,2.0,3.5,30,606.0,0.622,0.645,493,3.0
PFC/RECLTD,NBFCs,2,83.3,6,2.86,22.2,-0.53,60,2.0,3.5,30,583.6,0.871,0.927,495,2.0
GAIL/PETRONET,Oil & Gas,2,85.7,7,2.57,17.1,-1.52,30,2.0,3.5,30,582.7,0.576,0.55,246,1.0
NHPC/JSWENERGY,Power & Utilities,1,100.0,5,2.59,16.4,0.22,60,2.0,3.5,30,579.1,0.573,0.54,295,1.2
INFY/PERSISTENT,IT Services,2,87.5,8,2.33,15.8,-3.61,30,2.0,3.5,30,576.6,0.575,0.699,246,1.0
APOLLOHOSP/MAXHEALTH,Healthcare Services,2,80.0,10,2.27,9.5,-4.22,30,2.0,3.5,30,574.3,0.444,0.522,295,1.2
PNB/BANKBARODA,PSU Banks,1,100.0,7,2.15,17.7,0.69,30,2.0,3.5,30,568.8,0.804,0.784,250,1.0
SUNPHARMA/CIPLA,Pharma,2,85.7,7,2.48,21.0,-4.22,60,2.0,3.5,30,562.3,0.432,0.455,497,2.0
TVSMOTOR/EICHERMOT,Auto - OEM,1,100.0,3,2.88,16.3,0.02,60,2.0,3.5,30,498.8,0.58,0.519,246,1.0
AUROPHARMA/BIOCON,Pharma,2,87.5,8,1.97,12.1,-8.41,30,2.0,3.5,30,487.6,0.472,0.426,246,1.0
BANKBARODA/INDIANB,PSU Banks,2,80.0,5,2.64,25.0,-5.2,60,2.0,3.5,30,472.3,0.663,0.798,295,1.2
ONGC/PETRONET,Oil & Gas,2,83.3,6,2.31,22.7,-0.18,60,2.0,3.5,30,471.3,0.55,0.715,246,1.0
INFY/WIPRO,IT Services,2,85.7,7,1.83,13.0,-7.43,30,2.0,3.5,30,414.9,0.723,0.658,246,1.0
AUROPHARMA/ALKEM,Pharma,2,80.0,10,1.62,11.5,-12.85,30,2.0,3.5,30,409.8,0.481,0.424,246,1.0
NHPC/IREDA,Power & Utilities,2,83.3,6,2.0,16.3,-3.3,30,2.0,3.5,30,408.1,0.552,0.674,232,0.9
SBIN/PNB,PSU Banks,2,85.7,7,1.76,14.3,-2.63,30,2.0,3.5,30,399.1,0.663,0.59,250,1.0
AMBUJACEM/SHREECEM,Cement,1,90.9,11,1.31,16.6,-12.34,30,2.0,3.5,30,394.9,0.457,0.553,495,2.0
AUROPHARMA/LAURUSLABS,Pharma,2,85.7,7,1.56,21.0,-16.54,30,2.0,3.5,30,353.7,0.498,0.443,246,1.0
PNB/UNIONBANK,PSU Banks,1,100.0,4,1.56,26.8,0.12,60,2.0,3.5,30,312.0,0.739,0.667,246,1.0
DIVISLAB/AUROPHARMA,Pharma,2,85.7,7,1.06,15.0,-9.81,30,2.0,3.5,30,240.3,0.452,0.521,246,1.0
DRREDDY/ALKEM,Pharma,2,85.7,7,1.04,19.1,-5.35,30,2.0,3.5,30,235.8,0.407,0.521,246,1.0
LUPIN/ALKEM,Pharma,1,100.0,3,1.29,27.0,0.26,60,2.0,3.5,30,223.4,0.508,0.647,246,1.0
INFY/TECHM,IT Services,2,85.7,7,0.74,16.1,-6.71,30,2.0,3.5,30,167.8,0.72,0.712,246,1.0
