date,capital,phase,profit
2023-08-31,1119191.3328313297,1,119191.33283132967
2023-08-31,1120426.6274063203,1,120426.6274063203
2023-09-06,1122056.8481491965,1,122056.84814919648
2023-09-28,1120918.9901025123,1,120918.9901025123
2023-09-28,1120204.293325382,1,120204.29332538205
2023-09-28,1118953.899923486,1,118953.89992348594
2023-09-28,1120116.540940409,1,120116.54094040906
2023-09-28,1116726.4957286709,1,116726.49572867085
2023-09-28,1116364.5441259185,1,116364.54412591853
2023-09-28,1115783.1042591862,1,115783.10425918619
2023-09-28,1115218.182570486,1,115218.1825704861
2023-09-28,1113874.5462059435,1,113874.54620594345
2023-09-28,1112420.7272502002,1,112420.72725020023
2023-09-28,1115215.9959499738,1,115215.99594997382
2023-09-28,1108720.4255322358,1,108720.42553223576
2023-09-28,1107711.9285555203,1,107711.92855552025
2023-09-28,1105696.96749145,1,105696.96749145002
2023-09-28,1102583.9723339868,1,102583.97233398678
2023-09-28,1096140.0319682795,1,96140.03196827951
2023-09-28,1096882.7233569412,1,96882.72335694125
2023-09-28,1102042.0964677453,1,102042.09646774526
2023-09-28,1109606.0412783325,1,109606.04127833247
2023-09-28,1106238.871663289,1,106238.87166328891
2023-09-28,1107177.4692136883,1,107177.46921368828
2023-09-28,1106181.396536779,1,106181.39653677889
2023-09-28,1107442.6451286054,1,107442.64512860542
2023-09-28,1106485.5977825075,1,106485.59778250754
2023-10-03,1099170.344874168,1,99170.34487416805
2023-10-04,1104098.7499079977,1,104098.74990799767
2023-10-26,1097693.9523909285,1,97693.95239092852
2023-10-26,1096005.8583789708,1,96005.85837897076
2023-10-26,1094265.3010881883,1,94265.30108818831
2023-10-26,1094578.9008207629,1,94578.90082076285
2023-10-26,1091858.3435492348,1,91858.34354923479
2023-10-26,1089031.731804002,1,89031.73180400208
2023-10-26,1089184.0240546833,1,89184.02405468328
2023-10-26,1085280.773061877,1,85280.77306187688
2023-10-26,1090727.7386327179,1,90727.73863271787
2023-10-26,1089585.2557170978,1,89585.25571709778
2023-10-26,1087012.242676204,1,87012.24267620407
2023-10-26,1086348.9150871953,1,86348.91508719535
2023-10-26,1085792.3838806958,1,85792.3838806958
2023-10-26,1083731.0036703346,1,83731.00367033458
2023-10-26,1079930.7500105593,1,79930.75001055934
2023-10-26,1077259.1266644648,1,77259.12666446483
2023-10-26,1080618.8145211528,1,80618.81452115276
2023-10-26,1079703.259322319,1,79703.25932231895
2023-10-26,1079547.072339326,1,79547.07233932591
2023-10-26,1079735.4806064987,1,79735.48060649866
2023-10-26,1077068.8525425666,1,77068.8525425666
2023-10-26,1074098.862610673,1,74098.86261067307
2023-10-26,1074098.862610673,1,74098.86261067307
2023-11-06,1079200.8322080737,1,79200.8322080737
2023-11-16,1080843.9154751105,1,80843.91547511052
2023-11-17,1081133.0412225001,1,81133.04122250015
2023-11-30,1082410.257349057,1,82410.25734905689
2023-11-30,1082874.599098741,1,82874.59909874108
2023-11-30,1083302.500020408,1,83302.50002040807
2023-11-30,1074053.3461833117,1,74053.34618331166
2023-11-30,1077283.7419561394,1,77283.74195613945
2023-11-30,1077283.7419561394,1,77283.74195613945
2023-11-30,1079983.9595092593,1,79983.95950925932
2023-11-30,1084749.0008516246,1,84749.00085162465
2023-11-30,1086484.2764110228,1,86484.27641102276
2023-11-30,1086875.2588259352,1,86875.25882593519
2023-11-30,1087390.1241402226,1,87390.12414022256
2023-11-30,1087753.9609595526,1,87753.96095955255
2023-11-30,1089670.4621223789,1,89670.46212237887
2023-11-30,1092362.5365598642,1,92362.53655986418
2023-11-30,1096097.3323076682,1,96097.33230766817
2023-11-30,1095892.3393523085,1,95892.33935230854
2023-11-30,1087347.839487732,1,87347.83948773192
2023-11-30,1089634.2790911323,1,89634.27909113234
2023-11-30,1089205.917279864,1,89205.91727986396
2023-11-30,1090165.0424137302,1,90165.04241373017
2023-11-30,1089598.065875429,1,89598.06587542896
2023-11-30,1089169.225326832,1,89169.22532683192
2023-11-30,1091181.5914830754,1,91181.5914830754
2023-12-04,1093066.6076823624,1,93066.60768236243
2023-12-28,1093738.6715498536,1,93738.67154985364
2023-12-28,1094182.3214802067,1,94182.32148020668
2023-12-28,1094757.0852916462,1,94757.08529164619
2023-12-28,1095067.149372759,1,95067.14937275904
2023-12-28,1095438.0829038068,1,95438.08290380682
2023-12-28,1096003.553937851,1,96003.55393785099
2024-01-10,1096404.9652394808,1,96404.96523948084
2024-01-16,1094442.4003517022,1,94442.40035170224
2024-01-25,1092181.4786787322,1,92181.47867873218
2024-01-25,1094658.138568199,1,94658.138568199
2024-01-25,1098603.7702284437,1,98603.77022844367
2024-01-25,1095765.7669663636,1,95765.76696636365
2024-01-25,1099090.937394855,1,99090.93739485508
2024-01-25,1098763.826996821,1,98763.82699682098
2024-01-25,1103014.8990079681,1,103014.89900796814
2024-01-25,1096977.1848840793,1,96977.18488407927
2024-01-25,1102115.4106351444,1,102115.41063514445
2024-01-25,1103488.2720264944,1,103488.27202649438
2024-01-25,1103453.020028027,1,103453.02002802701
2024-01-25,1106771.0226543706,1,106771.02265437064
2024-01-25,1110575.365143664,1,110575.36514366395
2024-01-25,1113104.0362834944,1,113104.03628349444
2024-01-25,1113397.8886218967,1,113397.88862189674
2024-01-25,1122411.3953073178,1,122411.39530731784
2024-01-25,1123693.2947766627,1,123693.29477666272
2024-01-25,1120554.348611859,1,120554.3486118589
2024-01-25,1124130.395679393,1,124130.39567939308
2024-01-25,1124602.2787745944,1,124602.27877459442
2024-01-25,1118258.5069188087,1,118258.50691880868
2024-01-25,1117884.8880660515,1,117884.88806605153
2024-01-25,1115227.7830957347,1,115227.78309573466
2024-02-05,1115077.2273450168,1,115077.22734501678
2024-02-06,1100682.9741865268,1,100682.97418652684
2024-02-07,1105224.667308764,1,105224.66730876407
2024-02-29,1104782.6853154118,1,104782.68531541177
2024-02-29,1114177.3536036515,1,114177.35360365151
2024-02-29,1110905.3717049237,1,110905.37170492369
2024-02-29,1110635.0186277388,1,110635.01862773881
2024-02-29,1110589.3310309874,1,110589.33103098744
2024-02-29,1155146.5760071555,1,155146.57600715547
2024-02-29,1156345.2373321396,1,156345.23733213963
2024-02-29,1156171.0889530233,1,156171.0889530233
2024-02-29,1158227.8794607641,1,158227.87946076412
2024-02-29,1157526.761041106,1,157526.76104110596
2024-02-29,1167522.3566148346,1,167522.35661483463
2024-02-29,1161380.2062749863,1,161380.20627498627
2024-02-29,1164220.7051930306,1,164220.70519303065
2024-02-29,1160100.9096577996,1,160100.90965779964
2024-02-29,1161585.0313162098,1,161585.03131620982
2024-02-29,1162518.4954849547,1,162518.49548495468
2024-02-29,1161714.3261373497,1,161714.3261373497
2024-02-29,1161340.8806165392,1,161340.88061653916
2024-02-29,1159319.7574907704,1,159319.75749077043
2024-02-29,1161825.491836932,1,161825.49183693202
2024-02-29,1160972.0052932552,1,160972.0052932552
2024-02-29,1169341.3175732233,1,169341.31757322326
2024-02-29,1168524.9990373396,1,168524.99903733958
2024-02-29,1166835.4675959493,1,166835.4675959493
2024-02-29,1166091.4945207357,1,166091.4945207357
2024-02-29,1165097.510745621,1,165097.51074562105
2024-02-29,1161865.2165868853,1,161865.21658688528
2024-02-29,1159936.7419661244,1,159936.7419661244
2024-03-11,1160880.6404898993,1,160880.64048989932
2024-03-11,1164396.657729783,1,164396.6577297831
2024-03-26,1168204.2348005595,1,168204.23480055947
2024-03-28,1168737.3692633198,1,168737.36926331976
2024-03-28,1170369.1402611253,1,170369.14026112529
2024-03-28,1263731.2421799346,1,263731.24217993463
2024-03-28,1271311.2422314233,1,271311.24223142327
2024-03-28,1271825.9733031008,1,271825.9733031008
2024-03-28,1272321.6488905163,1,272321.64889051626
2024-03-28,1274734.7573283631,1,274734.75732836314
2024-03-28,1274994.843584245,1,274994.84358424507
2024-03-28,1274236.3194176494,1,274236.3194176494
2024-03-28,1276023.6342475787,1,276023.6342475787
2024-03-28,1274568.7345205802,1,274568.73452058015
2024-03-28,1273246.0127695035,1,273246.0127695035
2024-03-28,1273790.1465949793,1,273790.14659497933
2024-03-28,1276185.689749308,1,276185.68974930793
2024-03-28,1277446.6385349033,1,277446.6385349033
2024-03-28,1277260.5303416436,1,277260.5303416436
2024-03-28,1273165.6236214768,1,273165.6236214768
2024-03-28,1277700.571971102,1,277700.5719711019
2024-03-28,1278349.20929108,1,278349.20929108
2024-03-28,1283414.2675953454,1,283414.2675953454
2024-03-28,1283356.280014836,1,283356.280014836
2024-03-28,1288441.3607799567,1,288441.3607799567
2024-03-28,1290818.5114475836,1,290818.51144758356
2024-03-28,1290498.2524340071,1,290498.2524340071
2024-03-28,1292095.2440213943,1,292095.2440213943
2024-03-28,1291792.0512626811,1,291792.05126268114
2024-03-28,1289863.7694385876,1,289863.7694385876
2024-03-28,1293454.1921184366,1,293454.19211843656
2024-04-01,1294985.3185183567,1,294985.31851835665
2024-04-19,1303142.1072933741,1,303142.10729337414
2024-04-19,1304502.2618678615,2,304502.2618678615
2024-04-22,1296346.5137266635,2,296346.51372666354
2024-04-25,1296866.7304506185,2,296866.73045061855
2024-04-25,1308609.5038308182,2,308609.5038308182
2024-04-25,1302637.9175406608,2,302637.9175406608
2024-04-25,1278152.3923188648,2,278152.3923188648
2024-04-25,1291798.5138016618,2,291798.5138016618
2024-04-25,1284913.2985037686,2,284913.29850376863
2024-04-25,1314019.7370731046,2,314019.7370731046
2024-04-25,1321842.0341156905,2,321842.0341156905
2024-04-25,1308770.4074430498,2,308770.40744304983
2024-04-25,1319983.1676846724,2,319983.1676846724
2024-04-25,1324687.3450577834,2,324687.3450577834
2024-04-25,1350429.264471306,2,350429.264471306
2024-04-25,1372609.7663727107,2,372609.7663727107
2024-04-25,1308524.61469093,2,308524.6146909299
2024-04-25,1291366.7270919567,2,291366.72709195665
2024-04-25,1296724.240240894,2,296724.240240894
2024-04-25,1312286.069100301,2,312286.069100301
2024-04-25,1328882.7813910788,2,328882.78139107884
2024-04-25,1330178.1534602458,2,330178.1534602458
2024-04-25,1329886.2476797581,2,329886.2476797581
2024-04-25,1331829.154540348,2,331829.1545403481
2024-04-25,1334495.9611628025,2,334495.96116280253
2024-04-25,1352788.0107268959,2,352788.0107268959
2024-04-25,1362942.5640312205,2,362942.5640312205
2024-04-25,1364949.4327090855,2,364949.4327090855
2024-04-25,1371353.0208091282,2,371353.0208091282
2024-04-25,1377172.8491843892,2,377172.8491843892
2024-04-25,1297056.4748085672,2,297056.4748085672
2024-04-26,1311775.4716846948,2,311775.47168469476
2024-04-29,1302865.8926810124,2,302865.8926810124
2024-04-30,1309817.9850843584,2,309817.98508435837
2024-05-14,1322266.4952146,2,322266.4952146001
2024-05-15,1297196.3224653313,2,297196.3224653313
2024-05-16,1311247.5530302757,2,311247.55303027574
2024-05-16,1317263.5568035787,2,317263.55680357874
2024-05-18,1328997.740567585,2,328997.740567585
2024-05-23,1350740.1436032706,2,350740.14360327064
2024-05-27,1347806.3360113644,2,347806.33601136436
2024-05-30,1371791.074123382,2,371791.0741233821
2024-05-30,1366798.126968954,2,366798.126968954
2024-05-30,1390782.7005010052,2,390782.70050100517
