strategy,symbol,entry_date,exit_date,pnl_pct,pnl_rupees,entry_premium,exit_premium,days_held,pnl_leg_a,pnl_leg_b,direction
EXPIRY_CONV,SAMMAANCAP,2023-03-22,2023-03-28,0.3281,1319.0,0.597,0.269,6,,,
EXPIRY_CONV,SAMMAANCAP,2023-11-24,2023-11-29,-0.1131,-1057.0,0.327,0.441,5,,,
EXPIRY_CONV,SAMMAANCAP,2025-11-21,2025-11-25,0.7644,5223.0,0.56,-0.204,4,,,
EXPIRY_CONV,SAMMAANCAP,2026-01-23,2026-01-27,0.6986,4173.0,0.461,-0.238,4,,,
EXPIRY_CONV,SHREECEM,2024-11-25,2024-11-28,0.2829,1801.0,0.417,0.134,3,,,
EXPIRY_CONV,SHREECEM,2025-06-23,2025-06-26,0.3851,2750.0,0.385,0.0,3,,,
EXPIRY_CONV,SONACOMS,2025-02-24,2025-02-27,0.6248,2445.0,0.376,-0.248,3,,,
EXPIRY_CONV,SONACOMS,2025-03-24,2025-03-27,0.7936,3087.0,-0.986,-0.193,3,,,
EXPIRY_CONV,SONACOMS,2025-04-21,2025-04-24,0.4897,1729.0,-0.351,0.139,3,,,
EXPIRY_CONV,SONACOMS,2025-06-23,2025-06-26,0.6267,2318.0,0.377,-0.25,3,,,
EXPIRY_CONV,SONACOMS,2025-07-28,2025-07-31,0.0311,152.0,0.376,0.345,3,,,
EXPIRY_CONV,SUNPHARMA,2024-08-26,2024-08-29,1.4075,8767.0,-0.556,0.851,3,,,
EXPIRY_CONV,SUPREMEIND,2025-06-23,2025-06-26,0.4482,2511.0,-0.457,-0.009,3,,,
EXPIRY_CONV,SUPREMEIND,2025-12-26,2025-12-30,0.3483,1995.0,0.33,-0.018,4,,,
EXPIRY_CONV,TATACONSUM,2025-02-24,2025-02-27,0.1954,893.0,0.354,0.159,3,,,
EXPIRY_CONV,TATACONSUM,2025-05-26,2025-05-29,0.9764,5104.0,-0.724,0.252,3,,,
EXPIRY_CONV,TATAELXSI,2025-09-26,2025-09-30,0.3267,1733.0,-0.556,-0.23,4,,,
EXPIRY_CONV,TATATECH,2026-01-23,2026-01-27,0.4191,2205.0,0.327,-0.092,4,,,
EXPIRY_CONV,TCS,2023-12-22,2023-12-28,0.413,2764.0,0.447,0.034,6,,,
EXPIRY_CONV,UNIONBANK,2025-04-21,2025-04-24,0.1086,618.0,0.311,0.202,3,,,
EXPIRY_CONV,UNITDSPR,2024-07-24,2024-07-25,3.8785,38745.0,-2.975,0.904,1,,,
EXPIRY_CONV,UNITDSPR,2024-08-26,2024-08-29,0.6552,6545.0,2.015,1.359,3,,,
EXPIRY_CONV,UNITDSPR,2026-01-23,2026-01-27,0.4785,2551.0,-0.578,-0.099,4,,,
EXPIRY_CONV,VEDL,2024-12-23,2024-12-26,1.71,9305.0,-1.775,-0.065,3,,,
EXPIRY_CONV,VEDL,2025-06-23,2025-06-26,1.7103,8848.0,-1.601,0.11,3,,,
EXPIRY_CONV,YESBANK,2025-06-23,2025-06-26,0.4014,2075.0,0.302,-0.1,3,,,
PAIR_TRADE,ULTRACEMCO/GRASIM,2024-04-18,2024-05-08,-2.4844,-29680.0,,,20,2.2068,-7.1757,LONG_SPREAD
PAIR_TRADE,ULTRACEMCO/GRASIM,2024-05-31,2024-06-20,-1.2035,-6230.0,,,20,-9.2879,6.8808,SHORT_SPREAD
PAIR_TRADE,ULTRACEMCO/GRASIM,2024-07-11,2024-07-30,1.1943,14305.0,,,19,2.0153,0.3734,LONG_SPREAD
PAIR_TRADE,ULTRACEMCO/GRASIM,2024-09-23,2024-09-27,2.1244,28985.0,,,4,-0.8639,5.1128,SHORT_SPREAD
PAIR_TRADE,ULTRACEMCO/GRASIM,2024-10-18,2024-10-25,2.207,31870.0,,,7,-0.9678,5.3819,LONG_SPREAD
