symbol,win,pnl_pct,pnl_inr,dte_to_exit
HCLTECH,False,-2.2886,-12880.0,3
HDFCAMC,True,0.4664,4508.0,4
HDFCAMC,True,0.3221,2386.0,1
HDFCAMC,True,0.271,2261.0,3
HDFCLIFE,True,1.0013,8415.0,3
HDFCLIFE,False,0.0,0.0,0
HDFCLIFE,True,2.7225,22880.0,6
HEROMOTOCO,True,0.33,3897.0,6
HINDALCO,True,1.6973,18480.0,3
HINDALCO,False,-0.1286,-1400.0,3
HINDALCO,False,0.0,0.0,0
HINDALCO,False,-1.5687,-17080.0,3
HINDALCO,True,5.4391,59220.0,3
HINDALCO,True,0.1232,820.0,4
HINDPETRO,True,7.491,95445.0,2
HINDPETRO,True,0.5298,6750.0,5
HINDPETRO,True,0.2437,3105.0,3
HINDPETRO,True,0.7311,4658.0,7
HINDPETRO,False,0.0,0.0,0
HINDPETRO,True,2.4687,23591.0,3
HINDPETRO,True,3.6448,34830.0,3
HINDUNILVR,True,1.1115,8115.0,3
HINDUNILVR,False,-1.736,-12675.0,5
HINDUNILVR,True,1.3436,9810.0,3
HINDUNILVR,True,1.4361,10485.0,3
HINDUNILVR,True,0.4006,2925.0,1
HINDUNILVR,True,0.7725,5640.0,3
HINDUNILVR,True,2.0093,14670.0,3
HINDUNILVR,True,0.8916,6510.0,3
HINDUNILVR,True,0.3349,2445.0,3
HINDUNILVR,False,-0.9697,-7080.0,6
HINDUNILVR,True,4.1192,30075.0,3
HINDZINC,True,0.1707,921.0,2
HINDZINC,True,0.4118,3525.0,4
HUDCO,True,0.6364,3236.0,1
HUDCO,True,0.281,1581.0,3
ICICIBANK,True,3.4903,33460.0,3
ICICIBANK,False,-3.1763,-30450.0,3
ICICIBANK,True,0.8032,7700.0,3
ICICIBANK,True,0.774,7420.0,3
ICICIGI,False,0.0,0.0,0
ICICIGI,True,1.0254,10275.0,3
ICICIGI,True,3.4829,34900.0,3
ICICIGI,False,-1.3198,-13225.0,3
ICICIGI,True,0.2869,2875.0,3
ICICIGI,True,0.4006,1788.0,1
ICICIGI,True,0.4815,3003.0,1
ICICIGI,True,0.6023,3708.0,4
ICICIPRULI,True,1.2604,11550.0,3
ICICIPRULI,True,2.9792,27300.0,4
ICICIPRULI,False,-2.7173,-24900.0,3
ICICIPRULI,False,-4.5016,-41250.0,3
ICICIPRULI,False,-1.0313,-9450.0,3
ICICIPRULI,False,-10.9838,-100650.0,3
ICICIPRULI,True,0.3002,3375.0,1
IDEA,True,4.7141,18800.0,2
IDFCFIRSTB,True,0.3335,1498.0,3
IEX,True,4.0391,21375.0,1
IEX,True,6.3776,33750.0,3
IEX,True,0.744,3938.0,3
IEX,True,0.3543,1875.0,3
IEX,False,-1.3464,-7125.0,1
IEX,True,0.496,2625.0,2
IEX,True,0.5669,3000.0,3
IEX,False,-0.2834,-1500.0,3
IEX,False,-1.9133,-10125.0,3
IEX,False,-1.1692,-6188.0,6
IEX,True,3.9328,20813.0,3
INDIANB,True,0.9893,4686.0,2
INDIGO,True,0.2511,2304.0,1
INDIGO,True,0.2261,1886.0,4
INDUSINDBK,True,0.5153,1725.0,3
INDUSTOWER,True,0.3652,4930.0,3
INDUSTOWER,False,-0.2267,-3060.0,3
INDUSTOWER,True,5.5038,74290.0,3
INDUSTOWER,False,-0.9572,-12920.0,3
INDUSTOWER,False,-3.2368,-43690.0,3
INDUSTOWER,True,3.2116,43350.0,2
INFY,False,-0.5534,-3420.0,3
INFY,False,-1.1942,-7380.0,6
INFY,True,0.1003,620.0,3
INFY,False,-2.877,-17780.0,3
INFY,True,0.9709,6000.0,1
INFY,False,0.0,0.0,0
INFY,True,1.2958,9668.0,1
INFY,True,0.3037,1760.0,4
INFY,True,1.6397,10005.0,3
INOXWIND,True,0.8232,5061.0,1
IOC,False,-2.6591,-43388.0,5
IOC,True,6.2444,101887.0,2
IOC,True,1.3146,21450.0,4
IOC,True,1.6731,27300.0,1
IOC,True,1.3146,10725.0,1
IOC,False,-1.4939,-12187.0,3
IOC,True,1.1652,9506.0,1
IOC,False,-2.0376,-16624.0,3
IOC,False,-0.9023,-7361.0,3
IOC,True,0.2842,2037.0,1
IRCTC,True,0.3185,1966.0,3
IREDA,True,2.7868,13742.0,2
IREDA,True,0.4832,2351.0,3
IRFC,True,0.547,2643.0,1
ITC,True,0.8949,5840.0,3
ITC,True,1.0911,7120.0,5
ITC,False,-3.9353,-25680.0,3
ITC,True,0.38,2480.0,1
ITC,True,0.7723,5040.0,3
ITC,True,0.9195,6000.0,3
ITC,True,0.2207,1440.0,3
ITC,True,0.8459,5520.0,6
ITC,True,3.4572,22560.0,5
ITC,True,0.6497,4240.0,2
ITC,True,0.1349,880.0,6
ITC,False,-2.7338,-17840.0,3
ITC,True,2.2312,14560.0,3
ITC,False,-0.4168,-2720.0,3
ITC,False,0.0,0.0,0
ITC,True,1.8606,13185.0,2
ITC,True,0.2176,1441.0,1
JSWENERGY,True,0.416,1987.0,4
JSWSTEEL,True,0.4878,3754.0,3
JUBLFOOD,True,0.0205,173.0,3
JUBLFOOD,True,0.5899,3632.0,4
KALYANKJIL,True,0.4049,1661.0,2
KALYANKJIL,True,0.1923,847.0,1
KEI,True,0.6718,4030.0,1
KEI,True,0.2855,2061.0,4
KFINTECH,True,1.8246,8792.0,3
KFINTECH,True,0.6814,3266.0,3
KOTAKBANK,False,0.0,0.0,0
KOTAKBANK,True,0.3305,2760.0,3
KOTAKBANK,False,-0.5197,-4340.0,3
KOTAKBANK,True,0.7855,6560.0,1
KOTAKBANK,False,-1.0561,-8820.0,3
KOTAKBANK,False,-0.3257,-2720.0,1
KOTAKBANK,False,0.0,0.0,0
KOTAKBANK,False,0.0,0.0,0
KOTAKBANK,False,-0.7232,-6040.0,4
LICI,True,0.2758,1720.0,2
LODHA,True,0.2579,1670.0,1
LODHA,True,0.2162,1433.0,2
LODHA,True,0.3246,1758.0,2
LTF,True,0.1578,1205.0,6
LTF,True,0.6796,7536.0,2
LTF,True,0.45,3112.0,5
LTF,True,0.4142,2629.0,1
LTF,True,0.459,2899.0,1
LTF,True,0.7878,6020.0,2
LTF,True,1.8522,14404.0,1
LTF,True,0.194,1749.0,2
LTIM,True,1.9558,17385.0,7
LTIM,False,0.0,0.0,0
LTIM,True,1.2555,11160.0,3
LTIM,False,-2.0191,-17947.0,3
LTIM,False,-0.7965,-7080.0,3
LTIM,True,1.1365,10103.0,6
LTIM,False,-2.5287,-22477.0,5
LTIM,False,-2.7928,-24825.0,3
LTIM,False,0.0,0.0,0
LTIM,True,4.2904,38138.0,3
LTIM,False,-2.133,-18960.0,3
LTIM,True,6.2732,55763.0,2
LTIM,True,3.947,35085.0,2
LTIM,True,0.5422,4127.0,4
LT,False,-1.0062,-12150.0,5
LT,False,-0.123,-1485.0,3
LT,True,3.369,40680.0,6
LT,True,0.8534,10305.0,3
LT,False,-0.5304,-3203.0,3
LT,True,0.6708,4050.0,3
LT,False,-0.8087,-4883.0,3
