SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE,AVG_PRICE,TOTAL_TRADED_QTY,TURNOVER_LACS,NO_OF_TRADES,DELIVERABLE_QTY,DELIVERY_PCT,TIMESTAMP
BAIDFIN, EQ, 12-Mar-2026,10.97,10.71,11.24,10.71,11.0,11.08,11.06,47672,5.27,190,36089,75.7,2026-03-12
BAJAJ-AUTO, EQ, 12-Mar-2026,9327.5,9280.0,9280.0,9080.0,9152.5,9162.0,9176.16,390062,35792.71,44562,194245,49.8,2026-03-12
BAJAJCON, EQ, 12-Mar-2026,357.45,355.9,360.0,345.5,353.4,352.85,351.9,523735,1843.01,14630,247547,47.27,2026-03-12
BAJAJELEC, EQ, 12-Mar-2026,380.15,385.0,411.5,376.5,381.9,383.3,393.67,2414989,9507.01,55025,248856,10.3,2026-03-12
BAJAJFINSV, EQ, 12-Mar-2026,1795.3,1786.9,1794.4,1763.1,1774.5,1770.8,1775.46,1095963,19458.41,72185,544108,49.65,2026-03-12
BAJAJHCARE, EQ, 12-Mar-2026,309.3,309.0,309.8,300.0,300.8,300.45,303.22,662429,2008.59,6370,296350,44.74,2026-03-12
BAJAJHFL, EQ, 12-Mar-2026,83.74,83.3,84.2,81.9,83.7,83.68,83.1,5520863,4587.66,40027,2761686,50.02,2026-03-12
BAJAJHIND, EQ, 12-Mar-2026,16.57,16.57,17.0,16.24,16.48,16.53,16.72,11315756,1891.81,15073,3858499,34.1,2026-03-12
BAJAJHLDNG, EQ, 12-Mar-2026,10177.0,10102.0,10103.0,9760.0,9770.0,9789.0,9938.72,83281,8277.07,18678,42340,50.84,2026-03-12
BAJAJINDEF, EQ, 12-Mar-2026,238.66,241.65,265.0,239.32,253.0,254.75,256.73,174342,447.59,4967,26992,15.48,2026-03-12
BAJEL, EQ, 12-Mar-2026,149.28,148.85,150.9,145.01,146.0,145.93,148.97,299661,446.41,2265,216879,72.37,2026-03-12
BAJFINANCE, EQ, 12-Mar-2026,893.65,880.1,888.2,858.35,862.95,863.1,871.61,15508258,135170.84,300802,10320657,66.55,2026-03-12
BALAJEE, EQ, 12-Mar-2026,27.65,27.9,27.9,25.94,26.25,26.37,27.0,400394,108.12,1230,320505,80.05,2026-03-12
BALAJITELE, EQ, 12-Mar-2026,98.53,98.63,100.32,96.7,96.9,97.23,97.66,153143,149.56,2345,90085,58.82,2026-03-12
